AccX,AccY,AccZ,Accident,GyroX,GyroY,GyroZ
1.1324574,1.7262194,8.7053175,1,0.19730948,0.12767084,-0.06047566
0.090979666,1.6208745,8.750807,0,0.19730948,0.12767084,-0.06047566
-1.5275006,0.30885202,10.603919,1,0.19730948,0.12767084,-0.06047566
-0.45250413,0.7613561,9.974244,0,0.19730948,0.12767084,-0.06047566
0.15083471,1.6352397,8.6334915,0,-0.05131268,0.014049901,-0.077579886
-0.5626374,0.8834604,9.7324295,1,0.13194689,0.0036651916,0.15210545
-1.2425907,0.48123455,10.16578,0,-0.0030543262,0.02443461,0.076358154
-0.08619126,1.2689269,9.174581,0,-0.103847094,0.021991149,-0.059253927
0.023942016,1.3144168,9.198523,1,0.03481932,0.0061086523,0.07147124
-1.0031705,0.7134721,9.995792,1,0.054367006,0.02565634,0.2003638
-0.92416185,0.91219085,9.574412,0,-0.06536258,0.00061086525,0.10323623
-0.34476504,1.1971009,9.210494,0,-0.018325957,-0.0018325958,0.02687807
-0.34715924,0.8619126,9.890448,0,0.05497787,-0.005497787,0.1337795
-0.8858546,0.7613561,9.706094,1,-0.013439035,0.0030543262,0.17715092
-0.4285621,1.0390835,9.303867,0,-0.047647487,0.0061086523,0.065973446
0.0023942017,0.94331545,9.555259,1,0.028099801,-0.007941248,0.02565634
-0.30885202,0.7661445,9.744401,1,0.023823744,0.007330383,0.09773844
-0.35434186,0.81642276,9.406818,0,-0.04337143,0.03726278,0.10751228
-0.11731588,0.85473,9.3661175,1,-0.004276057,0.018936822,0.035430185
-0.20111294,0.7493851,9.749189,1,0.031154128,0.014049901,-0.0018325958
-0.36391866,0.82599956,9.603143,1,-0.016493361,0.015271631,0.01038471
-0.36391866,1.0582372,9.387665,0,-0.0061086523,0.04153884,-0.0036651916
-0.050278235,1.0175357,9.619903,1,0.018325957,0.034208454,-0.0030543262
-0.30406362,0.90021986,9.593566,0,0.0012217305,0.039095376,0.0036651916
-0.50757074,0.92176765,9.588778,0,-0.009162978,0.01282817,-0.004886922
-0.60573304,0.82360536,9.473856,0,0.03176499,0.03604105,-0.016493361
-0.260968,0.94570965,9.646238,1,0.016493361,0.04153884,0.009773844
-0.5243302,1.0773908,9.519346,1,-0.019547688,0.021991149,0.01282817
-0.49559975,1.1540052,9.471462,0,0.005497787,0.040927973,-0.030543262
-0.21787235,0.9624691,9.679757,1,0.026267206,0.022602014,-0.037873644
-0.50278234,0.92176765,9.576807,1,0.007941248,0.055588737,-0.017104227
-0.48123455,1.0462662,9.560047,1,-0.01038471,0.014660766,-0.0067195175
-0.8834604,1.0749966,9.440337,1,-0.0012217305,0.018936822,-0.028099801
-0.31364042,0.93613285,9.634268,0,0.018936822,0.05131268,-0.014049901
-0.770933,0.91937345,9.516952,0,-0.0030543262,-0.007941248,0.015882496
-0.6488287,0.9840169,9.32781,1,-0.01038471,0.04886922,-0.019547688
-0.05746084,0.93613285,9.552865,1,0.019547688,0.03176499,-0.036651913
-0.5530606,0.8451532,9.581595,1,0.009162978,0.030543262,-0.0842994
-0.50517654,1.0055647,9.375694,1,0.015882496,0.015271631,-0.16126843
-0.25857377,1.1013328,9.512163,0,0.02443461,0.053145275,-0.16249016
-0.16519992,1.1779473,9.622296,1,0.009162978,0.047647487,-0.09407325
-0.8714894,1.2186487,9.866506,1,-0.02443461,0.01160644,-0.12217305
-0.46926352,1.2018893,9.41879,0,0.02443461,0.111177474,-0.10629055
-0.7038953,1.2378023,10.335769,0,0.0012217305,-0.103847094,0.062308256
-2.3918076,1.2210429,9.579201,0,0.0067195175,0.08368854,0.10934488
-0.11731588,1.1061212,10.0508585,1,0.002443461,0.050701816,0.15088372
-1.4053963,1.2401965,9.354146,1,0.0,-0.06963864,0.096516706
-1.7238252,2.6743233,9.9790325,0,0.017104227,-0.18509217,-0.013439035
-0.18674773,1.3599066,11.188105,0,-0.01282817,0.2773328,0.13805555
-0.11971009,1.4772224,9.421184,0,-0.0036651916,-0.17104226,0.2950479
-3.1435869,1.3575124,9.866506,1,-0.0036651916,-0.02443461,-0.03848451
2.837129,0.81163436,9.80665,0,0.02443461,0.21991149,-0.07574729
-1.3503298,0.5243302,9.830592,0,-0.017104227,-0.21563543,0.267559
-2.4516625,0.61530983,9.018958,0,0.040317107,0.15821409,-0.15210545
2.291251,1.0031705,9.840169,0,0.015271631,-0.07391469,-0.10567969
-1.2569559,1.0127473,9.232041,0,-0.032986723,0.022602014,0.10323623
-1.1540052,0.8690952,9.337387,0,-0.005497787,0.06658431,0.06291912
-0.24660277,0.878672,9.636662,0,0.025045475,-0.053145275,-0.07941248
-0.93613285,0.8643068,9.478644,1,0.027488936,0.0030543262,-0.086132
-0.46926352,0.91219085,9.576807,0,0.004886922,-0.002443461,0.052534413
-0.9888053,1.1085154,9.452309,0,-0.018936822,0.002443461,0.069027774
-0.5267244,1.1109096,9.387665,0,0.002443461,-0.0018325958,-0.0421497
-0.17956513,1.0127473,9.55047,0,0.021380283,0.0,-0.047647487
-0.63206923,0.9816227,9.562442,1,-0.010995574,-0.023823744,0.020158553
-1.13964,1.0295067,9.174581,1,0.004276057,-0.031154128,-0.028099801
-0.20829555,1.0821792,9.531317,1,0.034208454,0.0067195175,-0.0842994
-0.35913026,1.0989386,9.557653,1,0.034208454,0.0067195175,-0.0842994
-0.9672575,1.2042835,9.3182335,1,0.034208454,0.0067195175,-0.0842994
-0.47644615,1.0654198,9.67018,1,0.034208454,0.0067195175,-0.0842994
-0.2825158,0.93852705,9.576807,1,0.034208454,0.0067195175,-0.0842994
-0.5482722,0.90021986,9.560047,0,0.0036651916,-0.00061086525,-0.004886922
-0.7158663,0.9624691,9.531317,0,0.01160644,-0.04337143,-0.05497787
-0.5626374,1.0749966,9.481039,1,0.00061086525,-0.028099801,-0.010995574
-0.92416185,1.0702082,9.579201,0,-0.0018325958,-0.02321288,0.007330383
-0.6799533,1.0486604,9.502586,0,0.007941248,-0.023823744,0.008552114
-0.2801216,1.0342951,9.617508,1,0.015882496,-0.0061086523,0.035430185
