AccX,AccY,AccZ
1.1324574,1.7262194,8.7053175
0.090979666,1.6208745,8.750807
-1.5275006,0.30885202,10.603919
-0.45250413,0.7613561,9.974244
0.15083471,1.6352397,8.6334915
-0.5626374,0.8834604,9.7324295
-1.2425907,0.48123455,10.16578
-0.08619126,1.2689269,9.174581
0.023942016,1.3144168,9.198523
-1.0031705,0.7134721,9.995792
-0.92416185,0.91219085,9.574412
-0.34476504,1.1971009,9.210494
-0.34715924,0.8619126,9.890448
-0.8858546,0.7613561,9.706094
-0.4285621,1.0390835,9.303867
0.0023942017,0.94331545,9.555259
-0.30885202,0.7661445,9.744401
-0.35434186,0.81642276,9.406818
-0.11731588,0.85473,9.3661175
-0.20111294,0.7493851,9.749189
-0.36391866,0.82599956,9.603143
-0.36391866,1.0582372,9.387665
-0.050278235,1.0175357,9.619903
-0.30406362,0.90021986,9.593566
-0.50757074,0.92176765,9.588778
-0.60573304,0.82360536,9.473856
-0.260968,0.94570965,9.646238
-0.5243302,1.0773908,9.519346
-0.49559975,1.1540052,9.471462
-0.21787235,0.9624691,9.679757
-0.50278234,0.92176765,9.576807
-0.48123455,1.0462662,9.560047
-0.8834604,1.0749966,9.440337
-0.31364042,0.93613285,9.634268
-0.770933,0.91937345,9.516952
-0.6488287,0.9840169,9.32781
-0.05746084,0.93613285,9.552865
-0.5530606,0.8451532,9.581595
-0.50517654,1.0055647,9.375694
-0.25857377,1.1013328,9.512163
-0.16519992,1.1779473,9.622296
-0.8714894,1.2186487,9.866506
-0.46926352,1.2018893,9.41879
-0.7038953,1.2378023,10.335769
-2.3918076,1.2210429,9.579201
-0.11731588,1.1061212,10.0508585
-1.4053963,1.2401965,9.354146
-1.7238252,2.6743233,9.9790325
-0.18674773,1.3599066,11.188105
-0.11971009,1.4772224,9.421184
-3.1435869,1.3575124,9.866506
2.837129,0.81163436,9.80665
-1.3503298,0.5243302,9.830592
-2.4516625,0.61530983,9.018958
2.291251,1.0031705,9.840169
-1.2569559,1.0127473,9.232041
-1.1540052,0.8690952,9.337387
-0.24660277,0.878672,9.636662
-0.93613285,0.8643068,9.478644
-0.46926352,0.91219085,9.576807
-0.9888053,1.1085154,9.452309
-0.5267244,1.1109096,9.387665
-0.17956513,1.0127473,9.55047
-0.63206923,0.9816227,9.562442
-1.13964,1.0295067,9.174581
-0.20829555,1.0821792,9.531317
-0.35913026,1.0989386,9.557653
-0.9672575,1.2042835,9.3182335
-0.47644615,1.0654198,9.67018
-0.2825158,0.93852705,9.576807
-0.5482722,0.90021986,9.560047
-0.7158663,0.9624691,9.531317
-0.5626374,1.0749966,9.481039
-0.92416185,1.0702082,9.579201
-0.6799533,1.0486604,9.502586
-0.2801216,1.0342951,9.617508
-0.25378537,1.0726024,9.737218
-0.34476504,1.0271125,9.564836
-0.31364042,1.0630256,9.540894
-0.56982,0.8882488,9.476251
-0.7110779,1.0893618,9.516952
-0.3878607,1.2114661,9.299079
-0.6560113,1.1085154,9.497798
-0.16280572,1.0127473,9.631873
-0.44771573,0.9576807,9.5385
-0.6799533,1.0295067,9.583989
-0.51954174,1.0821792,9.449914
-0.7613561,1.2976574,9.454702
-0.6991069,1.316811,9.548077
-0.6679823,1.1133038,9.555259
-0.36631286,0.89303726,9.624691
-0.5554548,0.6464345,9.483433
-0.47405192,0.7398083,9.629479
-0.2777274,1.043872,9.667787
-0.5793968,1.1851299,9.43076
0.033518825,0.9624691,9.464279
-0.30645782,0.7517793,9.622296
-0.35194764,0.8355764,9.524135
-0.23942018,1.0821792,9.3421755
-0.2825158,1.091756,9.473856
